station_id,business_partner_name
RYC1078,PSS PUNCAK ALAM 2 - NO PMT
RYB0595,PSS AMPANG PERMAI
RYB0263,PSS BATU 8 JLN IPOH - NO PMT
RYB0958,PSS SG BULOH RESORT - NO PMT
RYJ0545,PSS RAWANG KUNDANG - NO PMT
RYW0134,PSS JLN SG JATI - NO PMT
RYB0559,PSS JLN PANDANGAN - NO PMT
RYW0447,PSS TAMAN PUTRA - NO PMT
RYN0428,PSS PENDAMAR INDAH 1 - NO PMT
RYB1119,PSS KOTA BAYU EMAS - NO PMT
RYB0525,PSS BT 5 1/2  CHERAS - NO PMT
RYN0063,PSS LEBUH SPA KRUBONG - NO PMT
RYW0134,PSS JLN RHU AMPANG
RYB0293,PSS BANTING
RYP1141,PSS CHAI LENG PARK - TEMPORARY CLOSE
RYB0290,PSS BUKIT BELACHAN
RYB0330,PSS JLN KIM CHUAN
RYJ0973,PSS SUNGAI GURAP
RYW0727,PSS PRECINT 9 PUTRAJAYA
,PSS JALAN KAKI BUKIT
,PSS FELDA PALONG 14
,"PSS PASIR PUTIH, PASIR GUDANG"
,PSS LEBUHRAYA PASIR GUDANG 1
,PSS KLANG GATE
,PSS KAMPUNG UBAI
,PSS SG JATI ARAH KLANG
,PSS AMPANG UKAY
,PSS D'AMBANG KOTA
,PSS JLN SULTANAH
,PSS TMN UDA MURNI
,PSS TMN CEMPAKA JB
,PSS OLAK LEMPIT 2
,PSS TEMASYA
,PSS BANDAR TIRAM
,PSS BESRAYA SALAK JAYA (SB)
,PSS BDR SRI SENDAYAN
,PSS PERSIARAN KAYANGAN
